position,node_id,l1_ub_live,running_peak
1,8,0,0
2,0,1,1
3,1,2,2
4,2,3,3
5,3,3,3
6,14,4,4
7,16,5,5
8,38,6,6
9,40,7,7
10,258,8,8
11,260,9,9
12,321,10,10
13,323,11,11
14,325,12,12
15,327,13,13
16,369,14,14
17,371,15,15
18,373,16,16
19,375,17,17
20,417,18,18
21,419,19,19
22,421,20,20
23,423,21,21
24,15,23,23
25,17,25,25
26,39,27,27
27,41,29,29
28,259,31,31
29,261,33,33
30,282,35,35
31,284,37,37
32,286,39,39
33,322,41,41
34,324,43,43
35,326,45,45
36,328,47,47
37,370,49,49
38,372,51,51
39,374,53,53
40,376,55,55
41,418,57,57
42,420,59,59
43,422,61,61
44,424,63,63
45,283,67,67
46,285,71,71
47,287,75,75
48,234,81,81
49,236,87,87
50,4,103,103
51,5,103,103
52,9,103,103
53,1752,87,103
54,10,87,103
55,1754,87,103
56,11,87,103
57,6,103,103
58,7,103,103
59,12,103,103
60,1753,87,103
61,13,87,103
62,1751,86,103
63,1755,86,103
64,26,86,103
65,18,102,103
66,19,102,103
67,27,102,103
68,1760,86,103
69,28,86,103
70,1764,86,103
71,29,86,103
72,20,102,103
73,21,102,103
74,30,102,103
75,1761,86,103
76,31,86,103
77,1757,84,103
78,1765,84,103
79,32,84,103
80,22,100,103
81,23,100,103
82,33,100,103
83,1762,84,103
84,34,84,103
85,1749,83,103
86,1766,83,103
87,35,83,103
88,24,99,103
89,25,99,103
90,36,99,103
91,1763,83,103
92,37,83,103
93,1759,81,103
94,1750,80,103
95,1767,80,103
96,50,80,103
97,42,96,103
98,43,96,103
99,51,96,103
100,1772,80,103
101,52,80,103
102,1776,80,103
103,53,80,103
104,44,96,103
105,45,96,103
106,54,96,103
107,1773,80,103
108,55,80,103
109,1769,78,103
110,1777,78,103
111,56,78,103
112,46,94,103
113,47,94,103
114,57,94,103
115,1774,78,103
116,58,78,103
117,1756,77,103
118,1778,77,103
119,59,77,103
120,48,93,103
121,49,93,103
122,60,93,103
123,1775,77,103
124,61,77,103
125,1771,75,103
126,1758,74,103
127,1779,74,103
128,72,74,103
129,80,90,103
130,81,90,103
131,82,106,106
132,83,106,106
133,329,122,122
134,330,122,122
135,331,138,138
136,332,138,138
137,333,154,154
138,334,154,154
139,335,170,170
140,336,170,170
141,337,186,186
142,338,186,186
143,339,202,202
144,340,202,202
145,341,218,218
146,342,218,218
147,343,234,234
148,344,234,234
149,377,250,250
150,378,250,250
151,379,266,266
152,380,266,266
153,381,282,282
154,382,282,282
155,383,298,298
156,384,298,298
157,385,314,314
158,386,314,314
159,387,330,330
160,388,330,330
161,389,346,346
162,390,346,346
163,391,362,362
164,392,362,362
165,425,378,378
166,426,378,378
167,427,394,394
168,428,394,394
169,429,410,410
170,430,410,410
171,431,426,426
172,432,426,426
173,433,442,442
174,434,442,442
175,435,458,458
176,436,458,458
177,437,474,474
178,438,474,474
179,439,490,490
180,440,490,490
181,186,514,514
182,188,538,538
183,210,562,562
184,212,586,586
185,235,610,610
186,237,634,634
187,601,658,658
188,603,682,682
189,605,706,706
190,607,730,730
191,288,762,762
192,289,762,762
193,290,794,794
194,291,794,794
195,292,826,826
196,293,826,826
197,294,858,858
198,295,858,858
199,296,890,890
200,297,890,890
201,298,922,922
202,299,922,922
203,689,970,970
204,691,1018,1018
205,693,1066,1066
206,695,1114,1114
