position,node_id,l1_ub_live,running_peak
1,0,0,0
2,5,0,0
3,6,0,0
4,23,2,2
5,32,4,4
6,76,6,6
7,85,8,8
8,125,10,10
9,134,12,12
10,174,14,14
11,183,16,16
12,223,18,18
13,232,20,20
14,272,22,22
15,281,24,24
16,321,26,26
17,330,28,28
18,370,30,30
19,379,32,32
20,419,34,34
21,428,36,36
22,431,38,38
23,433,40,40
24,435,42,42
25,437,44,44
26,439,46,46
27,441,48,48
28,443,50,50
29,445,52,52
30,496,54,54
31,505,56,56
32,508,58,58
33,510,60,60
34,512,62,62
35,514,64,64
36,516,66,66
37,518,68,68
38,520,70,70
39,522,72,72
40,569,74,74
41,578,76,76
42,581,78,78
43,583,80,80
44,585,82,82
45,587,84,84
46,589,86,86
47,591,88,88
48,593,90,90
49,595,92,92
50,642,94,94
51,651,96,96
52,654,98,98
53,656,100,100
54,658,102,102
55,660,104,104
56,662,106,106
57,664,108,108
58,666,110,110
59,668,112,112
60,715,114,114
61,724,116,116
62,727,118,118
63,729,120,120
64,731,122,122
65,733,124,124
66,735,126,126
67,737,128,128
68,739,130,130
69,741,132,132
70,788,134,134
71,797,136,136
72,800,138,138
73,802,140,140
74,804,142,142
75,806,144,144
76,808,146,146
77,810,148,148
78,812,150,150
79,814,152,152
80,861,154,154
81,870,156,156
82,873,158,158
83,875,160,160
84,877,162,162
85,879,164,164
86,881,166,166
87,883,168,168
88,885,170,170
89,887,172,172
90,934,174,174
91,943,176,176
92,946,178,178
93,948,180,180
94,950,182,182
95,952,184,184
96,954,186,186
97,956,188,188
98,958,190,190
99,960,192,192
100,1011,194,194
101,1020,196,196
102,1023,198,198
103,1025,200,200
104,1027,202,202
105,1029,204,204
106,1031,206,206
107,1033,208,208
108,1035,210,210
109,1037,212,212
110,1088,214,214
111,1097,216,216
112,1100,218,218
113,1102,220,220
114,1104,222,222
115,1106,224,224
116,1108,226,226
117,1110,228,228
118,1112,230,230
119,1114,232,232
120,1161,234,234
121,1170,236,236
122,1173,238,238
123,1175,240,240
124,1177,242,242
125,1179,244,244
126,1181,246,246
127,1183,248,248
128,1185,250,250
129,1187,252,252
130,1234,254,254
131,1243,256,256
132,1246,258,258
133,1248,260,260
134,1250,262,262
135,1252,264,264
136,1254,266,266
137,1256,268,268
138,1258,270,270
139,1260,272,272
140,1307,274,274
141,1316,276,276
142,1319,278,278
143,1321,280,280
144,1323,282,282
145,1325,284,284
146,1327,286,286
147,1329,288,288
148,1331,290,290
149,1333,292,292
150,1380,294,294
151,1389,296,296
152,1392,298,298
153,1394,300,300
154,1396,302,302
155,1398,304,304
156,1400,306,306
157,1402,308,308
158,1404,310,310
159,1406,312,312
160,1453,314,314
161,1462,316,316
162,1465,318,318
163,1467,320,320
164,1469,322,322
165,1471,324,324
166,1473,326,326
167,1475,328,328
168,1477,330,330
169,1479,332,332
170,1526,334,334
171,1535,336,336
172,1538,338,338
173,1540,340,340
174,1542,342,342
175,1544,344,344
176,1546,346,346
177,1548,348,348
178,1550,350,350
179,1552,352,352
180,1603,354,354
181,1612,356,356
182,1615,358,358
183,1617,360,360
184,1619,362,362
185,1621,364,364
186,1623,366,366
187,1625,368,368
188,1627,370,370
189,1629,372,372
190,1680,374,374
191,1689,376,376
192,1692,378,378
193,1694,380,380
194,1696,382,382
195,1698,384,384
196,1700,386,386
197,1702,388,388
198,1704,390,390
199,1706,392,392
200,1753,394,394
201,1762,396,396
202,1765,398,398
203,1767,400,400
204,1769,402,402
205,1771,404,404
206,1773,406,406
207,1775,408,408
208,1777,410,410
209,1779,412,412
210,1826,414,414
211,1835,416,416
212,1838,418,418
213,1840,420,420
214,1842,422,422
215,1844,424,424
216,1846,426,426
217,1848,428,428
218,1850,430,430
219,1852,432,432
220,1899,434,434
221,1908,436,436
222,1911,438,438
223,1913,440,440
224,1915,442,442
225,1917,444,444
226,1919,446,446
227,1921,448,448
228,1923,450,450
229,1925,452,452
230,1972,454,454
231,1981,456,456
232,1984,458,458
233,1986,460,460
234,1988,462,462
235,1990,464,464
236,1992,466,466
237,1994,468,468
238,1996,470,470
239,1998,472,472
240,2045,474,474
241,2054,476,476
242,2057,478,478
243,2059,480,480
244,2061,482,482
245,2063,484,484
246,2065,486,486
247,2067,488,488
248,2069,490,490
249,2071,492,492
250,2118,494,494
251,2127,496,496
252,2130,498,498
253,2132,500,500
254,2134,502,502
255,2136,504,504
256,2138,506,506
257,2140,508,508
258,2142,510,510
259,2144,512,512
260,2195,514,514
261,2204,516,516
262,2207,518,518
263,2209,520,520
264,2211,522,522
265,2213,524,524
266,2215,526,526
267,2217,528,528
268,2219,530,530
269,2221,532,532
270,2272,534,534
271,2281,536,536
272,2284,538,538
273,2286,540,540
274,2288,542,542
275,2290,544,544
276,2292,546,546
277,2294,548,548
278,2296,550,550
279,2298,552,552
280,2345,554,554
281,2354,556,556
282,2357,558,558
283,2359,560,560
284,2361,562,562
285,2363,564,564
286,2365,566,566
287,2367,568,568
288,2369,570,570
289,2371,572,572
290,2418,574,574
291,2427,576,576
292,2430,578,578
293,2432,580,580
294,2434,582,582
295,2436,584,584
296,2438,586,586
297,2440,588,588
298,2442,590,590
299,2444,592,592
300,2491,594,594
301,2500,596,596
302,2503,598,598
303,2505,600,600
304,2507,602,602
305,2509,604,604
306,2511,606,606
307,2513,608,608
308,2515,610,610
309,2517,612,612
310,2564,614,614
311,2573,616,616
312,2576,618,618
313,2578,620,620
314,2580,622,622
315,2582,624,624
316,2584,626,626
317,2586,628,628
318,2588,630,630
319,2590,632,632
320,2637,634,634
321,2646,636,636
322,2649,638,638
323,2651,640,640
324,2653,642,642
325,2655,644,644
326,2657,646,646
327,2659,648,648
328,2661,650,650
329,2663,652,652
330,2710,654,654
331,2719,656,656
332,2722,658,658
333,2724,660,660
334,2726,662,662
335,2728,664,664
336,2730,666,666
337,2732,668,668
338,2734,670,670
339,2736,672,672
340,2787,674,674
341,2796,676,676
342,2799,678,678
343,2801,680,680
344,2803,682,682
345,2805,684,684
346,2807,686,686
347,2809,688,688
348,2811,690,690
349,2813,692,692
350,2864,694,694
351,2873,696,696
352,2876,698,698
353,2878,700,700
354,2880,702,702
355,2882,704,704
356,2884,706,706
357,2886,708,708
358,2888,710,710
359,2890,712,712
360,2937,714,714
361,2946,716,716
362,2949,718,718
363,2951,720,720
364,2953,722,722
365,2955,724,724
366,2957,726,726
367,2959,728,728
368,2961,730,730
369,2963,732,732
370,3010,734,734
371,3019,736,736
372,3022,738,738
373,3024,740,740
374,3026,742,742
375,3028,744,744
376,3030,746,746
377,3032,748,748
378,3034,750,750
379,3036,752,752
380,3083,754,754
381,3092,756,756
382,3095,758,758
