position,node_id,l1_ub_live,running_peak
1,0,0,0
2,5,0,0
3,6,0,0
4,1,128,128
5,3,128,128
6,7,128,128
7,2,256,256
8,4,256,256
9,8,256,256
10,9,256,256
11,22019,256,256
12,22020,256,256
13,14,256,256
14,15,256,256
15,10,384,384
16,12,384,384
17,16,384,384
18,11,512,512
19,13,512,512
20,17,512,512
21,18,512,512
22,22023,512,512
23,22024,512,512
24,23,512,512
25,24,512,512
26,19,640,640
27,21,640,640
28,25,640,640
29,20,768,768
30,22,768,768
31,26,768,768
32,27,768,768
33,22027,768,768
34,22028,768,768
35,32,768,768
36,33,768,768
37,28,896,896
38,30,896,896
39,34,896,896
40,29,1024,1024
41,31,1024,1024
42,35,1024,1024
43,36,1024,1024
44,22031,1024,1024
45,22032,1024,1024
46,41,1024,1024
47,42,1024,1024
48,37,1152,1152
49,39,1152,1152
50,43,1152,1152
51,38,1280,1280
52,40,1280,1280
53,44,1280,1280
54,45,1280,1280
55,22035,1280,1280
56,22036,1280,1280
57,50,1280,1280
58,51,1280,1280
59,46,1408,1408
60,48,1408,1408
61,52,1408,1408
62,47,1536,1536
63,49,1536,1536
64,53,1536,1536
65,54,1536,1536
66,22039,1536,1536
67,22040,1536,1536
68,59,1536,1536
69,60,1536,1536
70,55,1664,1664
71,57,1664,1664
72,61,1664,1664
73,56,1792,1792
74,58,1792,1792
75,62,1792,1792
76,63,1792,1792
77,22043,1792,1792
78,22044,1792,1792
79,68,1792,1792
80,69,1792,1792
81,64,1920,1920
82,66,1920,1920
83,70,1920,1920
84,65,2048,2048
85,67,2048,2048
86,71,2048,2048
87,72,2048,2048
88,22047,2048,2048
89,22048,2048,2048
90,77,2048,2048
91,78,2048,2048
92,73,2176,2176
93,75,2176,2176
94,79,2176,2176
95,74,2304,2304
96,76,2304,2304
97,80,2304,2304
98,81,2304,2304
99,22051,2304,2304
100,22052,2304,2304
101,86,2304,2304
102,87,2304,2304
103,82,2432,2432
104,84,2432,2432
105,88,2432,2432
106,83,2560,2560
107,85,2560,2560
108,89,2560,2560
109,90,2560,2560
110,22055,2560,2560
111,22056,2560,2560
112,95,2560,2560
113,96,2560,2560
114,91,2688,2688
115,93,2688,2688
116,97,2688,2688
117,92,2816,2816
118,94,2816,2816
119,98,2816,2816
120,99,2816,2816
121,22059,2816,2816
122,22060,2816,2816
123,104,2816,2816
124,105,2816,2816
125,100,2944,2944
126,102,2944,2944
127,106,2944,2944
128,101,3072,3072
129,103,3072,3072
130,107,3072,3072
131,108,3072,3072
132,22063,3072,3072
133,22064,3072,3072
134,113,3072,3072
135,114,3072,3072
136,109,3200,3200
137,111,3200,3200
138,115,3200,3200
139,110,3328,3328
140,112,3328,3328
141,116,3328,3328
142,117,3328,3328
143,22067,3328,3328
144,22068,3328,3328
145,122,3328,3328
146,123,3328,3328
147,118,3456,3456
148,120,3456,3456
149,124,3456,3456
150,119,3584,3584
151,121,3584,3584
152,125,3584,3584
153,126,3584,3584
154,22071,3584,3584
155,22072,3584,3584
156,131,3584,3584
157,132,3584,3584
158,127,3712,3712
159,129,3712,3712
160,133,3712,3712
161,128,3840,3840
162,130,3840,3840
163,134,3840,3840
164,135,3840,3840
165,22075,3840,3840
166,22076,3840,3840
167,140,3840,3840
168,141,3840,3840
169,136,3968,3968
170,138,3968,3968
171,142,3968,3968
172,137,4096,4096
173,139,4096,4096
174,143,4096,4096
175,144,4096,4096
176,22079,4096,4096
177,22080,4096,4096
178,145,4096,4096
179,22016,4096,4096
180,146,4096,4096
181,149,4096,4096
182,151,4096,4096
183,150,4096,4096
184,147,4224,4224
185,148,4224,4224
186,152,4224,4224
187,153,4224,4224
188,22083,4224,4224
189,22084,4224,4224
190,156,4224,4224
191,158,4224,4224
192,157,4224,4224
193,154,4352,4352
194,155,4352,4352
195,159,4352,4352
196,160,4352,4352
197,22086,4352,4352
198,22087,4352,4352
199,163,4352,4352
200,165,4352,4352
201,164,4352,4352
202,161,4480,4480
203,162,4480,4480
204,166,4480,4480
205,167,4480,4480
206,22089,4480,4480
207,22090,4480,4480
208,170,4480,4480
209,172,4480,4480
210,171,4480,4480
211,168,4608,4608
212,169,4608,4608
213,173,4608,4608
214,174,4608,4608
215,22092,4608,4608
216,22093,4608,4608
217,177,4608,4608
218,179,4608,4608
219,178,4608,4608
220,175,4736,4736
221,176,4736,4736
222,180,4736,4736
223,181,4736,4736
224,22095,4736,4736
225,22096,4736,4736
226,184,4736,4736
227,186,4736,4736
228,185,4736,4736
229,182,4864,4864
230,183,4864,4864
231,187,4864,4864
232,188,4864,4864
233,22098,4864,4864
234,22099,4864,4864
235,191,4864,4864
236,193,4864,4864
237,192,4864,4864
238,189,4992,4992
239,190,4992,4992
240,194,4992,4992
241,195,4992,4992
242,22101,4992,4992
243,22102,4992,4992
244,198,4992,4992
245,200,4992,4992
246,199,4992,4992
247,196,5120,5120
248,197,5120,5120
249,201,5120,5120
250,202,5120,5120
251,22104,5120,5120
252,22105,5120,5120
253,205,5120,5120
254,207,5120,5120
255,206,5120,5120
256,203,5248,5248
257,204,5248,5248
258,208,5248,5248
259,209,5248,5248
260,22107,5248,5248
261,22108,5248,5248
262,212,5248,5248
263,214,5248,5248
264,213,5248,5248
265,210,5376,5376
266,211,5376,5376
267,215,5376,5376
268,216,5376,5376
269,22110,5376,5376
270,22111,5376,5376
271,219,5376,5376
272,221,5376,5376
273,220,5376,5376
274,217,5504,5504
275,218,5504,5504
276,222,5504,5504
277,223,5504,5504
278,22113,5504,5504
279,22114,5504,5504
280,226,5504,5504
281,228,5504,5504
282,227,5504,5504
283,224,5632,5632
284,225,5632,5632
285,229,5632,5632
286,230,5632,5632
287,22116,5632,5632
288,22117,5632,5632
289,233,5632,5632
290,235,5632,5632
291,234,5632,5632
292,231,5760,5760
293,232,5760,5760
294,236,5760,5760
295,237,5760,5760
296,22119,5760,5760
297,22120,5760,5760
298,240,5760,5760
299,242,5760,5760
300,241,5760,5760
301,238,5888,5888
302,239,5888,5888
303,243,5888,5888
304,244,5888,5888
305,22122,5888,5888
306,22123,5888,5888
307,247,5888,5888
308,249,5888,5888
309,248,5888,5888
310,245,6016,6016
311,246,6016,6016
312,250,6016,6016
313,251,6016,6016
314,22125,6016,6016
315,22126,6016,6016
316,254,6016,6016
317,256,6016,6016
318,255,6016,6016
319,252,6144,6144
320,253,6144,6144
321,257,6144,6144
322,258,6144,6144
323,22128,6144,6144
324,22129,6144,6144
325,259,6144,6144
326,22081,6144,6144
327,260,6144,6144
328,263,6144,6144
329,265,6144,6144
330,264,6144,6144
331,261,6272,6272
332,262,6272,6272
333,266,6272,6272
334,267,6272,6272
335,22132,6272,6272
