experiment,task,schedule_policy,allocation_strategy,movement,spill_count,runtime_seconds,valid,result_claim
A_reference_first_fit,Conv_Case0,reference,first_fit,173180,520,0.156643,True,best_known_feasible_not_global_optimum
A_reference_first_fit,Conv_Case1,reference,first_fit,660550,8576,8.175815,True,best_known_feasible_not_global_optimum
A_reference_first_fit,FlashAttention_Case0,reference,first_fit,52708,367,0.071926,True,best_known_feasible_not_global_optimum
A_reference_first_fit,FlashAttention_Case1,reference,first_fit,241412,1700,0.618564,True,best_known_feasible_not_global_optimum
A_reference_first_fit,Matmul_Case0,reference,first_fit,34816,272,0.057454,True,best_known_feasible_not_global_optimum
A_reference_first_fit,Matmul_Case1,reference,first_fit,460800,3600,0.777576,True,best_known_feasible_not_global_optimum
B_reference_best_fit,Conv_Case0,reference,best_fit,174716,522,0.154785,True,best_known_feasible_not_global_optimum
B_reference_best_fit,Conv_Case1,reference,best_fit,658148,8512,7.59307,True,best_known_feasible_not_global_optimum
B_reference_best_fit,FlashAttention_Case0,reference,best_fit,52452,366,0.072516,True,best_known_feasible_not_global_optimum
B_reference_best_fit,FlashAttention_Case1,reference,best_fit,241444,1708,0.650424,True,best_known_feasible_not_global_optimum
B_reference_best_fit,Matmul_Case0,reference,best_fit,34816,272,0.056186,True,best_known_feasible_not_global_optimum
B_reference_best_fit,Matmul_Case1,reference,best_fit,460800,3600,0.773475,True,best_known_feasible_not_global_optimum
C_capacity_first_fit,Conv_Case0,capacity_aware,first_fit,155588,502,0.099647,True,best_known_feasible_not_global_optimum
C_capacity_first_fit,Conv_Case1,capacity_aware,first_fit,109004,3384,4.105868,True,best_known_feasible_not_global_optimum
C_capacity_first_fit,FlashAttention_Case0,capacity_aware,first_fit,17172,72,0.027305,True,best_known_feasible_not_global_optimum
C_capacity_first_fit,FlashAttention_Case1,capacity_aware,first_fit,92836,403,0.12008,True,best_known_feasible_not_global_optimum
C_capacity_first_fit,Matmul_Case0,capacity_aware,first_fit,34816,272,0.07373,True,best_known_feasible_not_global_optimum
C_capacity_first_fit,Matmul_Case1,capacity_aware,first_fit,460800,3600,0.935962,True,best_known_feasible_not_global_optimum
D_capacity_best_fit,Conv_Case0,capacity_aware,best_fit,152900,496,0.128725,True,best_known_feasible_not_global_optimum
D_capacity_best_fit,Conv_Case1,capacity_aware,best_fit,104826,3169,3.745467,True,best_known_feasible_not_global_optimum
D_capacity_best_fit,FlashAttention_Case0,capacity_aware,best_fit,16912,70,0.027205,True,best_known_feasible_not_global_optimum
D_capacity_best_fit,FlashAttention_Case1,capacity_aware,best_fit,92576,401,0.13667,True,best_known_feasible_not_global_optimum
D_capacity_best_fit,Matmul_Case0,capacity_aware,best_fit,34816,272,0.079103,True,best_known_feasible_not_global_optimum
D_capacity_best_fit,Matmul_Case1,capacity_aware,best_fit,460800,3600,0.983746,True,best_known_feasible_not_global_optimum
