max_states,task,movement,spill_count,runtime_seconds,valid
1,Conv_Case0,152900,496,0.100508,True
1,Conv_Case1,104826,3169,3.719974,True
1,FlashAttention_Case0,16912,70,0.026044,True
1,FlashAttention_Case1,92576,401,0.123941,True
1,Matmul_Case0,34816,272,0.074783,True
1,Matmul_Case1,460800,3600,0.923433,True
50,Conv_Case0,152900,496,0.162302,True
50,Conv_Case1,104826,3169,4.087931,True
50,FlashAttention_Case0,16912,70,0.038119,True
50,FlashAttention_Case1,92576,401,0.166411,True
50,Matmul_Case0,34816,272,0.117213,True
50,Matmul_Case1,460800,3600,1.018945,True
250,Conv_Case0,152900,496,0.325821,True
250,Conv_Case1,104826,3169,5.540285,True
250,FlashAttention_Case0,16912,70,0.089357,True
250,FlashAttention_Case1,92576,401,0.285213,True
250,Matmul_Case0,34816,272,0.216139,True
250,Matmul_Case1,460800,3600,1.378935,True
