buf_id,segment_index,memory_type,size,acquire_node,release_node,acquire_position,release_position,offset,created_by_spill
3,0,L0A,128,5,1147,2,10,0,0
7,0,L0A,128,14,1151,14,21,0,0
21,0,L0A,128,40,1165,39,47,0,0
25,0,L0A,128,48,1169,52,61,0,0
31,0,L0A,128,60,1175,70,74,0,0
34,0,L0A,128,67,1178,80,83,0,0
47,0,L0A,128,91,1191,103,107,0,0
50,0,L0A,128,97,1194,112,119,0,0
56,0,L0A,128,109,1200,128,132,0,0
59,0,L0A,128,116,1203,138,141,0,0
72,0,L0A,128,140,1216,164,168,0,0
75,0,L0A,128,146,1219,173,180,0,0
81,0,L0A,128,158,1225,191,195,0,0
84,0,L0A,128,165,1228,202,205,0,0
97,0,L0A,128,189,1241,229,233,0,0
100,0,L0A,128,195,1244,238,246,0,0
106,0,L0A,128,207,1250,252,260,0,0
109,0,L0A,128,214,1253,262,269,0,0
131,0,L0A,128,256,1275,290,298,0,0
135,0,L0A,128,264,1279,303,312,0,0
146,0,L0A,128,286,1290,318,324,0,0
148,0,L0A,128,291,1292,326,331,0,0
169,0,L0A,128,331,1313,354,358,0,0
172,0,L0A,128,337,1316,363,370,0,0
183,0,L0A,128,359,1327,376,382,0,0
185,0,L0A,128,364,1329,384,389,0,0
206,0,L0A,128,404,1350,412,416,0,0
209,0,L0A,128,410,1353,421,428,0,0
220,0,L0A,128,432,1364,434,441,0,0
222,0,L0A,128,437,1366,443,449,0,0
243,0,L0A,128,477,1387,473,477,0,0
246,0,L0A,128,483,1390,482,490,0,0
258,0,L0A,128,507,1402,496,504,0,0
261,0,L0A,128,514,1405,506,513,0,0
283,0,L0A,128,556,1427,534,542,0,0
287,0,L0A,128,564,1431,547,556,0,0
298,0,L0A,128,586,1442,562,568,0,0
300,0,L0A,128,591,1444,570,575,0,0
321,0,L0A,128,631,1465,598,602,0,0
324,0,L0A,128,637,1468,607,614,0,0
335,0,L0A,128,659,1479,620,626,0,0
337,0,L0A,128,664,1481,628,633,0,0
358,0,L0A,128,704,1502,656,660,0,0
361,0,L0A,128,710,1505,665,672,0,0
372,0,L0A,128,732,1516,678,685,0,0
374,0,L0A,128,737,1518,687,693,0,0
395,0,L0A,128,777,1539,717,721,0,0
398,0,L0A,128,783,1542,726,734,0,0
410,0,L0A,128,807,1554,740,749,0,0
413,0,L0A,128,814,1557,751,759,0,0
435,0,L0A,128,856,1579,780,788,0,0
439,0,L0A,128,864,1583,793,802,0,0
453,0,L0A,128,896,1597,808,815,0,0
455,0,L0A,128,901,1599,817,823,0,0
476,0,L0A,128,941,1620,846,850,0,0
479,0,L0A,128,947,1623,855,862,0,0
493,0,L0A,128,979,1637,868,875,0,0
495,0,L0A,128,984,1639,877,883,0,0
516,0,L0A,128,1024,1660,906,910,0,0
519,0,L0A,128,1030,1663,915,922,0,0
533,0,L0A,128,1062,1677,928,936,0,0
535,0,L0A,128,1067,1679,938,945,0,0
556,0,L0A,128,1107,1700,969,973,0,0
559,0,L0A,128,1113,1703,978,986,0,0
4,0,L0B,128,6,1148,6,11,0,0
8,0,L0B,128,15,1152,18,22,0,0
22,0,L0B,128,41,1166,43,48,0,0
26,0,L0B,128,49,1170,57,62,0,0
32,0,L0B,128,61,1176,66,75,0,0
35,0,L0B,128,68,1179,76,84,0,0
48,0,L0B,128,92,1192,98,108,0,0
51,0,L0B,128,98,1195,115,120,0,0
57,0,L0B,128,110,1201,124,133,0,0
60,0,L0B,128,117,1204,134,142,0,0
73,0,L0B,128,141,1217,159,169,0,0
76,0,L0B,128,147,1220,176,181,0,0
82,0,L0B,128,159,1226,186,196,0,0
85,0,L0B,128,166,1229,197,206,0,0
98,0,L0B,128,190,1242,223,234,0,0
101,0,L0B,128,196,1245,241,247,0,0
107,0,L0B,128,208,1251,256,261,0,0
110,0,L0B,128,215,1254,266,270,0,0
132,0,L0B,128,257,1276,294,299,0,0
136,0,L0B,128,265,1280,308,313,0,0
147,0,L0B,128,287,1291,320,325,0,0
149,0,L0B,128,292,1293,328,332,0,0
170,0,L0B,128,332,1314,349,359,0,0
173,0,L0B,128,338,1317,366,371,0,0
184,0,L0B,128,360,1328,378,383,0,0
186,0,L0B,128,365,1330,386,390,0,0
207,0,L0B,128,405,1351,407,417,0,0
210,0,L0B,128,411,1354,424,429,0,0
221,0,L0B,128,433,1365,436,442,0,0
223,0,L0B,128,438,1367,445,450,0,0
244,0,L0B,128,478,1388,467,478,0,0
247,0,L0B,128,484,1391,485,491,0,0
259,0,L0B,128,508,1403,500,505,0,0
262,0,L0B,128,515,1406,510,514,0,0
284,0,L0B,128,557,1428,538,543,0,0
288,0,L0B,128,565,1432,552,557,0,0
299,0,L0B,128,587,1443,564,569,0,0
301,0,L0B,128,592,1445,572,576,0,0
322,0,L0B,128,632,1466,593,603,0,0
325,0,L0B,128,638,1469,610,615,0,0
336,0,L0B,128,660,1480,622,627,0,0
338,0,L0B,128,665,1482,630,634,0,0
359,0,L0B,128,705,1503,651,661,0,0
362,0,L0B,128,711,1506,668,673,0,0
373,0,L0B,128,733,1517,680,686,0,0
375,0,L0B,128,738,1519,689,694,0,0
396,0,L0B,128,778,1540,711,722,0,0
399,0,L0B,128,784,1543,729,735,0,0
411,0,L0B,128,808,1555,745,750,0,0
414,0,L0B,128,815,1558,756,760,0,0
436,0,L0B,128,857,1580,784,789,0,0
440,0,L0B,128,865,1584,798,803,0,0
454,0,L0B,128,897,1598,811,816,0,0
456,0,L0B,128,902,1600,820,824,0,0
477,0,L0B,128,942,1621,841,851,0,0
480,0,L0B,128,948,1624,858,863,0,0
494,0,L0B,128,980,1638,871,876,0,0
496,0,L0B,128,985,1640,880,884,0,0
517,0,L0B,128,1025,1661,901,911,0,0
520,0,L0B,128,1031,1664,918,923,0,0
534,0,L0B,128,1063,1678,931,937,0,0
536,0,L0B,128,1068,1680,941,946,0,0
557,0,L0B,128,1108,1701,963,974,0,0
560,0,L0B,128,1114,1704,981,987,0,0
0,0,L0C,256,0,1144,8,25,0,0
18,0,L0C,256,35,1162,45,51,0,0
23,0,L0C,256,45,1167,59,65,0,0
29,0,L0C,256,57,1173,72,87,0,0
45,0,L0C,256,88,1189,105,111,0,0
49,0,L0C,256,96,1193,117,123,0,0
54,0,L0C,256,106,1198,130,146,0,0
70,0,L0C,256,137,1214,166,172,0,0
74,0,L0C,256,145,1218,178,185,0,0
79,0,L0C,256,155,1223,193,210,0,0
95,0,L0C,256,186,1239,231,237,0,0
99,0,L0C,256,194,1243,244,251,0,0
104,0,L0C,256,204,1248,258,274,0,0
128,0,L0C,256,251,1272,296,302,0,0
133,0,L0C,256,261,1277,310,317,0,0
145,0,L0C,256,285,1289,322,336,0,0
167,0,L0C,256,328,1311,356,362,0,0
171,0,L0C,256,336,1315,368,375,0,0
182,0,L0C,256,358,1326,380,394,0,0
204,0,L0C,256,401,1348,414,420,0,0
208,0,L0C,256,409,1352,426,433,0,0
219,0,L0C,256,431,1363,439,454,0,0
241,0,L0C,256,474,1385,475,481,0,0
245,0,L0C,256,482,1389,488,495,0,0
256,0,L0C,256,504,1400,502,518,0,0
280,0,L0C,256,551,1424,540,546,0,0
285,0,L0C,256,561,1429,554,561,0,0
297,0,L0C,256,585,1441,566,580,0,0
319,0,L0C,256,628,1463,600,606,0,0
323,0,L0C,256,636,1467,612,619,0,0
334,0,L0C,256,658,1478,624,638,0,0
356,0,L0C,256,701,1500,658,664,0,0
360,0,L0C,256,709,1504,670,677,0,0
371,0,L0C,256,731,1515,683,698,0,0
393,0,L0C,256,774,1537,719,725,0,0
397,0,L0C,256,782,1541,732,739,0,0
408,0,L0C,256,804,1552,747,764,0,0
432,0,L0C,256,851,1576,786,792,0,0
437,0,L0C,256,861,1581,800,807,0,0
452,0,L0C,256,895,1596,813,828,0,0
474,0,L0C,256,938,1618,848,854,0,0
478,0,L0C,256,946,1622,860,867,0,0
492,0,L0C,256,978,1636,873,888,0,0
