node_id,op,pipe,cycles,start,finish,latest_start,slack,on_representative_critical_path,on_any_critical_path
18,ALLOC,,0,0,0,322,322,0,0
2,ALLOC,,0,0,0,0,0,1,1
3,COPY_IN,MTE2,80,0,80,0,0,1,1
4,ALLOC,,0,0,0,80,80,0,0
5,COPY_IN,MTE2,106,80,186,80,0,1,1
8,ALLOC,,0,0,0,186,186,0,0
9,MOVE,MTE1,30,186,216,186,0,1,1
1752,FREE,,0,216,216,216,0,1,1
0,ALLOC,,0,216,216,368,152,0,0
10,CONV,CUBE,30,216,246,368,152,0,0
1754,FREE,,0,246,246,398,152,0,0
6,ALLOC,,0,216,216,216,0,1,1
7,COPY_IN,MTE2,106,216,322,216,0,1,1
11,ALLOC,,0,246,246,398,152,0,0
12,MOVE,MTE1,30,322,352,398,76,0,0
1753,FREE,,0,352,352,428,76,0,0
1,ALLOC,,0,352,352,446,94,0,0
13,CONV,CUBE,30,352,382,446,94,0,0
1751,FREE,,0,382,382,864,482,0,0
1755,FREE,,0,382,382,476,94,0,0
19,COPY_IN,MTE2,106,322,428,322,0,1,1
26,ALLOC,,0,382,382,476,94,0,0
27,MOVE,MTE1,30,428,458,476,48,0,0
1760,FREE,,0,458,458,506,48,0,0
15,ALLOC,,0,458,458,506,48,0,0
28,CONV,CUBE,28,458,486,506,48,0,0
1764,FREE,,0,486,486,534,48,0,0
20,ALLOC,,0,352,352,428,76,0,0
21,COPY_IN,MTE2,106,428,534,428,0,1,1
29,ALLOC,,0,486,486,534,48,0,0
30,MOVE,MTE1,30,534,564,534,0,1,1
1761,FREE,,0,564,564,564,0,1,1
14,ALLOC,,0,458,458,642,184,0,0
31,CONV,CUBE,28,564,592,642,78,0,0
1757,FREE,,0,592,592,778,186,0,0
1765,FREE,,0,592,592,670,78,0,0
22,ALLOC,,0,564,564,564,0,1,1
23,COPY_IN,MTE2,106,564,670,564,0,1,1
32,ALLOC,,0,592,592,670,78,0,0
33,MOVE,MTE1,30,670,700,670,0,1,1
1762,FREE,,0,700,700,700,0,1,1
17,ALLOC,,0,592,592,778,186,0,0
34,CONV,CUBE,28,700,728,778,78,0,0
1749,FREE,,0,728,728,864,136,0,0
1766,FREE,,0,728,728,806,78,0,0
24,ALLOC,,0,700,700,700,0,1,1
25,COPY_IN,MTE2,106,700,806,700,0,1,1
