name,D,T,spill_count,runtime_seconds,nondominated_in_searched_set
problem2_baseline,104826,1416109,3169,0.0,False
critical_path,2083438,10288051,22579,25.260482,False
earliest_finish,2245472,11629001,25144,42.487923,False
pipe_balance,632176,3506732,6229,6.769065,False
memory_controlled,1093922,6406131,12856,23.597325,False
hybrid,1619444,9072417,18651,40.2065,False
local_w16_1,104826,1416109,3169,8.342331,True
local_w16_2,104826,1416109,3169,8.535785,False
local_w64_1,104826,1416109,3169,8.371034,False
local_w64_2,104826,1416109,3169,8.389915,False
