pipe,node_id,start,finish,cycles
CUBE,9,144247,144384,137
CUBE,19,146127,146264,137
CUBE,25,146309,146446,137
CUBE,35,148007,148144,137
CUBE,45,149887,150024,137
CUBE,49,150069,150206,137
CUBE,55,150251,150324,73
CUBE,61,150337,150474,137
CUBE,71,151767,151904,137
CUBE,81,153647,153784,137
CUBE,85,153829,153966,137
CUBE,89,154011,154084,73
CUBE,93,154097,154234,137
CUBE,99,154279,154352,73
CUBE,109,155527,155664,137
CUBE,119,157407,157544,137
CUBE,123,157589,157726,137
CUBE,127,157771,157844,73
CUBE,131,157857,157994,137
CUBE,135,158039,158112,73
CUBE,141,158193,158274,81
CUBE,151,158355,158436,81
CUBE,161,159598,159735,137
CUBE,171,161478,161615,137
CUBE,175,161660,161797,137
CUBE,179,161842,161915,73
CUBE,183,161928,162065,137
CUBE,187,162110,162183,73
CUBE,191,162264,162345,81
CUBE,201,162426,162507,81
CUBE,207,162588,162669,81
CUBE,217,164250,164387,137
CUBE,227,166130,166267,137
CUBE,231,166312,166449,137
CUBE,235,166494,166567,73
CUBE,239,166580,166717,137
CUBE,243,166762,166835,73
CUBE,247,166916,166997,81
CUBE,257,167078,167159,81
CUBE,267,168740,168877,137
CUBE,277,170620,170757,137
CUBE,281,170802,170939,137
CUBE,285,170984,171057,73
CUBE,289,171070,171207,137
CUBE,293,171252,171325,73
CUBE,297,171406,171487,81
CUBE,307,171568,171649,81
CUBE,311,171730,171811,81
CUBE,317,171892,171973,81
CUBE,323,171990,172063,73
CUBE,333,173806,173943,137
CUBE,343,175686,175823,137
CUBE,347,175868,176005,137
CUBE,351,176050,176123,73
CUBE,355,176136,176273,137
CUBE,359,176318,176391,73
CUBE,363,176472,176553,81
CUBE,373,176634,176715,81
CUBE,383,177566,177703,137
CUBE,393,179446,179583,137
CUBE,397,179628,179765,137
CUBE,401,179810,179883,73
CUBE,405,179896,180033,137
CUBE,409,180078,180151,73
CUBE,413,180232,180313,81
CUBE,423,180394,180475,81
CUBE,427,180556,180637,81
CUBE,431,180718,180799,81
CUBE,435,180816,180889,73
CUBE,441,180970,181051,81
CUBE,451,182051,182188,137
CUBE,461,183931,184068,137
CUBE,465,184113,184250,137
CUBE,469,184295,184368,73
CUBE,473,184381,184518,137
CUBE,477,184563,184636,73
CUBE,481,184717,184798,81
CUBE,491,184879,184960,81
CUBE,501,185811,185948,137
CUBE,511,187691,187828,137
CUBE,515,187873,188010,137
CUBE,519,188055,188128,73
CUBE,523,188141,188278,137
CUBE,527,188323,188396,73
CUBE,531,188477,188558,81
CUBE,541,188639,188720,81
CUBE,545,188801,188882,81
CUBE,549,188963,189044,81
CUBE,553,189061,189134,73
CUBE,557,189215,189296,81
CUBE,563,189377,189458,81
CUBE,573,190463,190600,137
CUBE,583,192343,192480,137
CUBE,587,192525,192662,137
CUBE,591,192707,192780,73
CUBE,595,192793,192930,137
CUBE,599,192975,193048,73
CUBE,603,193129,193210,81
CUBE,613,193766,193847,81
CUBE,623,195590,195727,137
CUBE,633,197470,197607,137
CUBE,637,197652,197789,137
CUBE,641,197834,197907,73
CUBE,645,197920,198057,137
CUBE,649,198102,198175,73
CUBE,653,198256,198337,81
CUBE,663,199171,199252,81
CUBE,667,199333,199414,81
CUBE,671,199495,199576,81
CUBE,675,199593,199666,73
CUBE,679,199747,199828,81
CUBE,683,199909,199990,81
CUBE,689,200071,200152,81
CUBE,699,201289,201426,137
CUBE,709,203169,203306,137
CUBE,713,203351,203488,137
CUBE,717,203533,203606,73
CUBE,721,203619,203756,137
CUBE,725,203801,203874,73
CUBE,729,203955,204036,81
CUBE,739,204870,204951,81
CUBE,749,206613,206750,137
CUBE,759,208493,208630,137
CUBE,763,208675,208812,137
CUBE,767,208857,208930,73
CUBE,771,208943,209080,137
CUBE,775,209125,209198,73
CUBE,779,209279,209360,81
CUBE,789,210194,210275,81
CUBE,793,210356,210437,81
CUBE,797,210518,210599,81
CUBE,801,210616,210689,73
CUBE,805,210770,210851,81
CUBE,809,210932,211013,81
CUBE,819,212018,212155,137
CUBE,829,213898,214035,137
CUBE,833,214080,214217,137
CUBE,837,214262,214335,73
CUBE,841,214348,214485,137
CUBE,845,214530,214603,73
CUBE,849,214684,214765,81
CUBE,859,215599,215680,81
CUBE,869,217342,217479,137
CUBE,879,219222,219359,137
CUBE,883,219404,219541,137
CUBE,887,219586,219659,73
CUBE,891,219672,219809,137
CUBE,895,219854,219927,73
CUBE,899,220008,220089,81
CUBE,909,220923,221004,81
CUBE,913,221085,221166,81
CUBE,917,221247,221328,81
CUBE,921,221345,221418,73
CUBE,925,221499,221580,81
CUBE,929,221661,221742,81
CUBE,933,221823,221904,81
CUBE,939,221985,222066,81
CUBE,945,222147,222228,81
CUBE,949,222309,222390,81
CUBE,955,222471,222624,153
CUBE,965,223629,223766,137
CUBE,975,225509,225646,137
CUBE,979,225691,225828,137
CUBE,983,225873,225946,73
CUBE,987,225959,226096,137
CUBE,991,226141,226214,73
CUBE,995,226295,226376,81
CUBE,1005,226932,227013,81
CUBE,1015,228675,228812,137
CUBE,1025,230555,230692,137
CUBE,1029,230737,230874,137
CUBE,1033,230919,230992,73
CUBE,1037,231005,231142,137
CUBE,1041,231187,231260,73
CUBE,1045,231341,231422,81
CUBE,1055,232256,232337,81
CUBE,1059,232418,232499,81
CUBE,1063,232580,232661,81
CUBE,1067,232678,232751,73
CUBE,1071,232832,232913,81
CUBE,1075,232994,233075,81
CUBE,1085,234080,234217,137
CUBE,1095,235960,236097,137
CUBE,1099,236142,236279,137
CUBE,1103,236324,236397,73
CUBE,1107,236410,236547,137
CUBE,1111,236592,236665,73
CUBE,1115,236746,236827,81
CUBE,1125,237661,237742,81
