node_id,op,pipe,cycles,start,finish,latest_start,slack,on_representative_critical_path,on_any_critical_path
46,ALLOC,,0,0,0,3160,3160,0,0
1,ALLOC,,0,0,0,0,0,1,1
3,COPY_IN,MTE2,581,0,581,0,0,1,1
5,ALLOC,,0,0,0,2080,2080,0,0
7,MOVE,MTE1,31,581,612,2080,1499,0,0
2,ALLOC,,0,0,0,581,581,0,0
4,COPY_IN,MTE2,581,581,1162,581,0,1,1
6,ALLOC,,0,0,0,2111,2111,0,0
8,MOVE,MTE1,54,1162,1216,2111,949,0,0
0,ALLOC,,0,0,0,2165,2165,0,0
9,MATMUL,CUBE,128,1216,1344,2165,949,0,0
1147,FREE,,0,1344,1344,2293,949,0,0
1148,FREE,,0,1344,1344,2324,980,0,0
10,ALLOC,,0,0,0,1162,1162,0,0
12,COPY_IN,MTE2,581,1162,1743,1162,0,1,1
14,ALLOC,,0,1344,1344,2293,949,0,0
16,MOVE,MTE1,31,1743,1774,2293,550,0,0
11,ALLOC,,0,0,0,1743,1743,0,0
13,COPY_IN,MTE2,581,1743,2324,1743,0,1,1
15,ALLOC,,0,1344,1344,2324,980,0,0
17,MOVE,MTE1,54,2324,2378,2324,0,1,1
18,MATMUL,CUBE,128,2378,2506,2378,0,1,1
1151,FREE,,0,2506,2506,3497,991,0,0
1152,FREE,,0,2506,2506,3528,1022,0,0
19,ALLOC,,0,0,0,2506,2506,0,0
21,COPY,FIXP,41,2506,2547,2506,0,1,1
1144,FREE,,0,2547,2547,3582,1035,0,0
20,ALLOC,,0,0,0,2547,2547,0,0
22,ROWMAX,VECTOR,310,2547,2857,2547,0,1,1
26,ALLOC,,0,0,0,2857,2857,0,0
27,SUB,VECTOR,151,2857,3008,2857,0,1,1
1153,FREE,,0,3008,3008,3008,0,0,1
28,ALLOC,,0,3008,3008,3008,0,0,1
29,EXP,VECTOR,218,3008,3226,3008,0,1,1
1157,FREE,,0,3226,3226,4125,899,0,0
