pipe,node_id,start,finish,cycles
CUBE,9,1216,1344,128
CUBE,18,2378,2506,128
CUBE,44,3582,3710,128
CUBE,52,3795,3923,128
CUBE,64,4353,4481,128
CUBE,71,4934,5062,128
CUBE,95,6084,6212,128
CUBE,101,6297,6425,128
CUBE,113,6855,6983,128
CUBE,120,7436,7564,128
CUBE,144,8586,8714,128
CUBE,150,8799,8927,128
CUBE,162,9593,9721,128
CUBE,169,10387,10515,128
CUBE,193,11537,11665,128
CUBE,199,11750,11878,128
CUBE,211,12385,12513,128
CUBE,218,12966,13094,128
CUBE,260,14170,14298,128
CUBE,268,14964,15092,128
CUBE,290,15177,15305,128
CUBE,295,15390,15518,128
CUBE,335,17022,17150,128
CUBE,341,17235,17363,128
CUBE,363,17509,17637,128
CUBE,368,17722,17850,128
CUBE,408,19398,19526,128
CUBE,414,19611,19739,128
CUBE,436,19885,20013,128
CUBE,441,20098,20226,128
CUBE,481,21774,21902,128
CUBE,487,21987,22115,128
CUBE,511,22568,22696,128
CUBE,518,23149,23277,128
CUBE,560,24353,24481,128
CUBE,568,25147,25275,128
CUBE,590,25360,25488,128
CUBE,595,25573,25701,128
CUBE,635,27205,27333,128
CUBE,641,27418,27546,128
CUBE,663,27692,27820,128
CUBE,668,27905,28033,128
CUBE,708,29581,29709,128
CUBE,714,29794,29922,128
CUBE,736,30068,30196,128
CUBE,741,30281,30409,128
CUBE,781,31957,32085,128
CUBE,787,32170,32298,128
CUBE,811,32444,32572,128
CUBE,818,33238,33366,128
CUBE,860,34442,34570,128
CUBE,868,35236,35364,128
CUBE,900,35449,35577,128
CUBE,905,35662,35790,128
CUBE,945,37294,37422,128
CUBE,951,37507,37635,128
CUBE,983,37781,37909,128
CUBE,988,37994,38122,128
CUBE,1028,39670,39798,128
CUBE,1034,39883,40011,128
CUBE,1066,40157,40285,128
CUBE,1071,40370,40498,128
CUBE,1111,42046,42174,128
CUBE,1117,42259,42387,128
FIXP,21,2506,2547,41
FIXP,54,3710,3751,41
FIXP,56,3923,3964,41
FIXP,74,5062,5103,41
FIXP,103,6212,6253,41
FIXP,105,6425,6466,41
FIXP,123,7564,7605,41
FIXP,152,8714,8755,41
FIXP,154,9161,9202,41
FIXP,172,10515,10556,41
FIXP,201,11665,11706,41
FIXP,203,12112,12153,41
FIXP,221,13094,13135,41
FIXP,271,14298,14339,41
FIXP,275,15092,15133,41
FIXP,298,15539,15580,41
FIXP,344,17150,17191,41
FIXP,348,17468,17509,41
FIXP,371,17915,17956,41
FIXP,417,19526,19567,41
FIXP,421,19844,19885,41
FIXP,444,20291,20332,41
FIXP,490,21902,21943,41
FIXP,494,22220,22261,41
FIXP,521,23277,23318,41
FIXP,571,24481,24522,41
FIXP,575,25275,25316,41
FIXP,598,25722,25763,41
FIXP,644,27333,27374,41
FIXP,648,27651,27692,41
FIXP,671,28098,28139,41
FIXP,717,29709,29750,41
FIXP,721,30027,30068,41
FIXP,744,30474,30515,41
FIXP,790,32085,32126,41
FIXP,794,32403,32444,41
FIXP,821,33366,33407,41
FIXP,871,34570,34611,41
FIXP,875,35364,35405,41
FIXP,908,35811,35852,41
FIXP,954,37422,37463,41
FIXP,958,37740,37781,41
FIXP,991,38187,38228,41
FIXP,1037,39798,39839,41
FIXP,1041,40116,40157,41
FIXP,1074,40563,40604,41
FIXP,1120,42174,42215,41
FIXP,1124,42492,42533,41
MTE1,7,581,612,31
MTE1,8,1162,1216,54
MTE1,16,1743,1774,31
MTE1,17,2324,2378,54
MTE1,42,3497,3528,31
MTE1,43,3528,3582,54
MTE1,50,3710,3741,31
MTE1,51,3741,3795,54
MTE1,63,3923,3977,54
MTE1,62,4322,4353,31
MTE1,70,4481,4535,54
MTE1,69,4903,4934,31
MTE1,94,5062,5116,54
MTE1,93,6053,6084,31
MTE1,99,6212,6243,31
MTE1,100,6243,6297,54
MTE1,112,6425,6479,54
MTE1,111,6824,6855,31
MTE1,119,6983,7037,54
MTE1,118,7405,7436,31
MTE1,143,7564,7618,54
MTE1,142,8555,8586,31
MTE1,148,8714,8745,31
MTE1,149,8745,8799,54
MTE1,161,8927,8981,54
MTE1,160,9562,9593,31
MTE1,168,9721,9775,54
MTE1,167,10356,10387,31
MTE1,192,10515,10569,54
MTE1,191,11506,11537,31
MTE1,197,11665,11696,31
MTE1,198,11696,11750,54
MTE1,209,11878,11909,31
