pipe,node_id,start,finish,cycles
CUBE,9,681,809,128
CUBE,18,1331,1459,128
CUBE,27,1981,2109,128
CUBE,36,2631,2759,128
CUBE,45,3281,3409,128
CUBE,54,3931,4059,128
CUBE,63,4581,4709,128
CUBE,72,5231,5359,128
CUBE,81,5622,5750,128
CUBE,88,5881,6009,128
CUBE,95,6206,6334,128
CUBE,102,6531,6659,128
CUBE,109,6856,6984,128
CUBE,116,7181,7309,128
CUBE,123,7506,7634,128
CUBE,130,7831,7959,128
CUBE,139,8222,8350,128
CUBE,146,8481,8609,128
CUBE,153,8806,8934,128
CUBE,160,9131,9259,128
CUBE,167,9456,9584,128
CUBE,174,9781,9909,128
CUBE,181,10106,10234,128
CUBE,188,10431,10559,128
CUBE,197,10822,10950,128
CUBE,204,11112,11240,128
CUBE,211,11468,11596,128
CUBE,218,11824,11952,128
CUBE,225,12180,12308,128
CUBE,232,12536,12664,128
CUBE,239,12892,13020,128
CUBE,246,13248,13376,128
CUBE,255,13639,13767,128
CUBE,262,13960,14088,128
CUBE,269,14316,14444,128
CUBE,276,14672,14800,128
CUBE,283,15028,15156,128
CUBE,290,15384,15512,128
CUBE,297,15740,15868,128
CUBE,304,16096,16224,128
CUBE,313,16487,16615,128
CUBE,320,16808,16936,128
CUBE,327,17164,17292,128
CUBE,334,17520,17648,128
CUBE,341,17876,18004,128
CUBE,348,18232,18360,128
CUBE,355,18588,18716,128
CUBE,362,18944,19072,128
CUBE,371,19335,19463,128
CUBE,378,19656,19784,128
CUBE,385,20012,20140,128
CUBE,392,20368,20496,128
CUBE,399,20724,20852,128
CUBE,406,21080,21208,128
CUBE,413,21436,21564,128
CUBE,420,21792,21920,128
CUBE,429,22307,22435,128
CUBE,436,22822,22950,128
CUBE,443,23337,23465,128
CUBE,450,23852,23980,128
CUBE,457,24367,24495,128
CUBE,464,24882,25010,128
CUBE,471,25397,25525,128
CUBE,478,25912,26040,128
CUBE,487,26427,26555,128
CUBE,494,26942,27070,128
CUBE,501,27457,27585,128
CUBE,508,27972,28100,128
CUBE,515,28487,28615,128
CUBE,522,29002,29130,128
CUBE,529,29517,29645,128
CUBE,536,30032,30160,128
CUBE,543,30423,30551,128
CUBE,548,30613,30741,128
CUBE,553,30803,30931,128
CUBE,558,30993,31121,128
CUBE,563,31183,31311,128
CUBE,568,31373,31501,128
CUBE,573,31563,31691,128
CUBE,578,31753,31881,128
CUBE,585,32144,32272,128
CUBE,590,32334,32462,128
CUBE,595,32524,32652,128
CUBE,600,32714,32842,128
CUBE,605,32904,33032,128
CUBE,610,33094,33222,128
CUBE,615,33531,33659,128
CUBE,620,33968,34096,128
CUBE,627,34359,34487,128
CUBE,632,34595,34723,128
CUBE,637,35032,35160,128
CUBE,642,35469,35597,128
CUBE,647,35906,36034,128
CUBE,652,36343,36471,128
CUBE,657,36780,36908,128
CUBE,662,37217,37345,128
CUBE,669,37654,37782,128
CUBE,674,38091,38219,128
CUBE,679,38528,38656,128
CUBE,684,38965,39093,128
CUBE,689,39402,39530,128
CUBE,694,39839,39967,128
CUBE,699,40276,40404,128
CUBE,704,40713,40841,128
CUBE,711,41150,41278,128
CUBE,716,41587,41715,128
CUBE,721,42024,42152,128
CUBE,726,42461,42589,128
CUBE,731,42898,43026,128
CUBE,736,43335,43463,128
CUBE,741,43772,43900,128
CUBE,746,44209,44337,128
CUBE,753,44646,44774,128
CUBE,758,45083,45211,128
CUBE,763,45520,45648,128
CUBE,768,45957,46085,128
CUBE,773,46394,46522,128
CUBE,778,46831,46959,128
CUBE,783,47268,47396,128
CUBE,788,47458,47586,128
CUBE,795,47849,47977,128
CUBE,800,48039,48167,128
CUBE,805,48229,48357,128
CUBE,810,48419,48547,128
