name,D,T,spill_count,runtime_seconds,nondominated_in_searched_set
problem2_baseline,460800,1811966,3600,0.0,False
critical_path,8739072,23710024,30029,9.89957,False
earliest_finish,8777344,23051653,30334,11.279824,False
pipe_balance,2136064,6063451,4708,2.095171,False
memory_controlled,2144256,7337757,8564,5.438483,False
hybrid,6531584,17944702,21660,9.266975,False
local_w16_1,460800,1811935,3600,2.18996,False
local_w16_2,460800,1811745,3600,2.056477,True
local_w64_1,460800,1811935,3600,2.068051,False
local_w64_2,460800,1811745,3600,2.249276,False
