node_id,op,pipe,cycles,start,finish,latest_start,slack,on_representative_critical_path,on_any_critical_path
1,ALLOC,,0,0,0,0,0,1,1
3,COPY_IN,MTE2,325,0,325,0,0,1,1
5,ALLOC,,0,0,0,7519,7519,0,0
7,MOVE,MTE1,31,325,356,7519,7194,0,0
2,ALLOC,,0,0,0,325,325,0,0
4,COPY_IN,MTE2,325,325,650,325,0,1,1
6,ALLOC,,0,0,0,7550,7550,0,0
8,MOVE,MTE1,31,650,681,7550,6900,0,0
0,ALLOC,,0,0,0,7581,7581,0,0
9,MATMUL,CUBE,128,681,809,7581,6900,0,0
22019,FREE,,0,809,809,7709,6900,0,0
22020,FREE,,0,809,809,7740,6931,0,0
10,ALLOC,,0,0,0,650,650,0,0
12,COPY_IN,MTE2,325,650,975,650,0,1,1
14,ALLOC,,0,809,809,7709,6900,0,0
16,MOVE,MTE1,31,975,1006,7709,6734,0,0
11,ALLOC,,0,0,0,975,975,0,0
13,COPY_IN,MTE2,325,975,1300,975,0,1,1
15,ALLOC,,0,809,809,7740,6931,0,0
17,MOVE,MTE1,31,1300,1331,7740,6440,0,0
18,MATMUL,CUBE,128,1331,1459,7771,6440,0,0
22023,FREE,,0,1459,1459,7899,6440,0,0
22024,FREE,,0,1459,1459,7930,6471,0,0
19,ALLOC,,0,0,0,1300,1300,0,0
21,COPY_IN,MTE2,325,1300,1625,1300,0,1,1
23,ALLOC,,0,1459,1459,7899,6440,0,0
25,MOVE,MTE1,31,1625,1656,7899,6274,0,0
20,ALLOC,,0,0,0,1625,1625,0,0
22,COPY_IN,MTE2,325,1625,1950,1625,0,1,1
24,ALLOC,,0,1459,1459,7930,6471,0,0
26,MOVE,MTE1,31,1950,1981,7930,5980,0,0
27,MATMUL,CUBE,128,1981,2109,7961,5980,0,0
22027,FREE,,0,2109,2109,8089,5980,0,0
22028,FREE,,0,2109,2109,8120,6011,0,0
28,ALLOC,,0,0,0,1950,1950,0,0
30,COPY_IN,MTE2,325,1950,2275,1950,0,1,1
32,ALLOC,,0,2109,2109,8089,5980,0,0
34,MOVE,MTE1,31,2275,2306,8089,5814,0,0
29,ALLOC,,0,0,0,2275,2275,0,0
31,COPY_IN,MTE2,325,2275,2600,2275,0,1,1
33,ALLOC,,0,2109,2109,8120,6011,0,0
35,MOVE,MTE1,31,2600,2631,8120,5520,0,0
36,MATMUL,CUBE,128,2631,2759,8151,5520,0,0
22031,FREE,,0,2759,2759,8279,5520,0,0
22032,FREE,,0,2759,2759,8310,5551,0,0
37,ALLOC,,0,0,0,2600,2600,0,0
39,COPY_IN,MTE2,325,2600,2925,2600,0,1,1
41,ALLOC,,0,2759,2759,8279,5520,0,0
43,MOVE,MTE1,31,2925,2956,8279,5354,0,0
38,ALLOC,,0,0,0,2925,2925,0,0
40,COPY_IN,MTE2,325,2925,3250,2925,0,1,1
42,ALLOC,,0,2759,2759,8310,5551,0,0
44,MOVE,MTE1,31,3250,3281,8310,5060,0,0
45,MATMUL,CUBE,128,3281,3409,8341,5060,0,0
22035,FREE,,0,3409,3409,8469,5060,0,0
22036,FREE,,0,3409,3409,8500,5091,0,0
46,ALLOC,,0,0,0,3250,3250,0,0
48,COPY_IN,MTE2,325,3250,3575,3250,0,1,1
50,ALLOC,,0,3409,3409,8469,5060,0,0
52,MOVE,MTE1,31,3575,3606,8469,4894,0,0
47,ALLOC,,0,0,0,3575,3575,0,0
49,COPY_IN,MTE2,325,3575,3900,3575,0,1,1
51,ALLOC,,0,3409,3409,8500,5091,0,0
