task,alpha,Dmax,actual_D,T,baseline_T,time_improvement_percent,candidate,status
Conv_Case0,0.0,152900,152900,784914,785002,0.01121,local_w64_2,improved
Conv_Case0,0.02,155958,152900,784914,785002,0.01121,local_w64_2,improved
Conv_Case0,0.05,160545,152900,784914,785002,0.01121,local_w64_2,improved
Conv_Case0,0.1,168190,152900,784914,785002,0.01121,local_w64_2,improved
Conv_Case1,0.0,104826,104826,1416109,1416109,0.0,local_w16_1,在当前搜索设置下未改善
Conv_Case1,0.02,106922,104826,1416109,1416109,0.0,local_w16_1,在当前搜索设置下未改善
Conv_Case1,0.05,110067,104826,1416109,1416109,0.0,local_w16_1,在当前搜索设置下未改善
Conv_Case1,0.1,115308,104826,1416109,1416109,0.0,local_w16_1,在当前搜索设置下未改善
FlashAttention_Case0,0.0,16912,16912,78098,79199,1.390169,local_w64_2,improved
FlashAttention_Case0,0.02,17250,16912,78098,79199,1.390169,local_w64_2,improved
FlashAttention_Case0,0.05,17757,16912,78098,79199,1.390169,local_w64_2,improved
FlashAttention_Case0,0.1,18603,16912,78098,79199,1.390169,local_w64_2,improved
FlashAttention_Case1,0.0,92576,92576,340244,341058,0.238669,local_w64_2,improved
FlashAttention_Case1,0.02,94427,92576,340244,341058,0.238669,local_w64_2,improved
FlashAttention_Case1,0.05,97204,92576,340244,341058,0.238669,local_w64_2,improved
FlashAttention_Case1,0.1,101833,92576,340244,341058,0.238669,local_w64_2,improved
Matmul_Case0,0.0,34816,34816,198038,198661,0.3136,local_w16_2,improved
Matmul_Case0,0.02,35512,34816,198038,198661,0.3136,local_w16_2,improved
Matmul_Case0,0.05,36556,34816,198038,198661,0.3136,local_w16_2,improved
Matmul_Case0,0.1,38297,34816,198038,198661,0.3136,local_w16_2,improved
Matmul_Case1,0.0,460800,460800,1811745,1811966,0.012197,local_w16_2,improved
Matmul_Case1,0.02,470016,460800,1811745,1811966,0.012197,local_w16_2,improved
Matmul_Case1,0.05,483840,460800,1811745,1811966,0.012197,local_w16_2,improved
Matmul_Case1,0.1,506880,460800,1811745,1811966,0.012197,local_w16_2,improved
